Acura,TSX Special Edition,L4 - 2.4L 2351cc GAS MFI type K24Z3 - 4 valve DOHC,"",2.4,4,Gas,K24Z3,TSX Special Edition,4 Cylinders 2.4L FI DOHC VTEC,TSX Special Edition,2.4L 2354CC L4 FI VIN: K24Z3,TSX,4-2354 2.4L DOHC,TSX Special Edition,L4 - 2.4L 2351cc GAS MFI type K24Z3 - 4 valve DOHC
Acura,ILX Dynamic (Can),4 Cylinders 2.4L MFI DOHC (Can),autozone,2.4,4,,"",ILX Dynamic (Can),4 Cylinders 2.4L MFI DOHC (Can),ILX,2.4L 2354CC L4 FI VIN: K24Z7,ILX,4-2354 2.4L DOHC,ILX,L4 - 2.4L 2351cc GAS MFI type K24Z7 - 4 valve DOHC
Acura,ILX Hybrid,L4 - 1.5L 1497cc ELECTRIC/GAS MFI type LEA2 - 2 valve SOHC,"",1.5,4,Hybrid,LEA2,ILX Hybrid,4 Cylinders 1.5L FI HEV SOHC,ILX Hybrid,1.5L 1497CC L4 FI VIN: LEA2,ILX HYBRID,4-1497 1.5L SOHC,ILX Hybrid,L4 - 1.5L 1497cc ELECTRIC/GAS MFI type LEA2 - 2 valve SOHC
Acura,TL SH-AWD,V6 - 3.7L 3664cc GAS MFI type J37A4 - 4 valve SOHC,"",3.7,6,Gas,J37A4,TL SH-AWD,6 Cylinders 3.7L FI SOHC VTEC,TL SH-AWD,3.7L 3664CC V6 FI VIN: J37A4,TL,V6-3664 3.7L SOHC,TL SH-AWD,V6 - 3.7L 3664cc GAS MFI type J37A4 - 4 valve SOHC
Acura,TSX V6,V6 - 3.5L 3471cc GAS MFI type J35Z6 - 4 valve SOHC,"",3.5,6,Gas,J35Z6,TSX,6 Cylinders 3.5L FI SOHC,TSX V6,3.5L 3471CC V6 FI VIN: J35Z6,TSX,V6-3474 3.5L SOHC,TSX V6,V6 - 3.5L 3471cc GAS MFI type J35Z6 - 4 valve SOHC
Acura,ILX,L4 - 2.0L 1997cc 122ci GAS MFI type R20A5 - 4 valve SOHC,"",2.0,4,Gas,R20A5,ILX,4 Cylinders 2.0L MFI SOHC,ILX,2.0L 1997CC L4 FI VIN: R20A5,ILX,4-1997 2.0L SOHC,ILX,L4 - 2.0L 1997cc 122ci GAS MFI type R20A5 - 4 valve SOHC
Acura,ILX,L4 - 2.4L 2351cc GAS MFI type K24Z7 - 4 valve DOHC,"",2.4,4,Gas,K24Z7,ILX,4 Cylinders 2.4L FI DOHC,ILX,2.4L 2354CC L4 FI VIN: K24Z7,ILX,4-2354 2.4L DOHC,ILX,L4 - 2.4L 2351cc GAS MFI type K24Z7 - 4 valve DOHC
Acura,MDX,V6 - 3.7L 3664cc GAS MFI type J37A1 - 4 valve SOHC,"",3.7,6,Gas,J37A1,MDX AWD,6 Cylinders 3.7L FI SOHC VTEC,MDX,3.7L 3664CC V6 FI VIN: J37A1,MDX,V6-3664 3.7L SOHC,MDX,V6 - 3.7L 3664cc GAS MFI type J37A1 - 4 valve SOHC
Acura,RDX,V6 - 3.5L 3471cc GAS MFI type J35Z2 - 4 valve SOHC,"",3.5,6,Gas,J35Z2,RDX 2WD,6 Cylinders 3.5L FI SOHC,RDX,3.5L 3471CC V6 FI VIN: J35Z2,RDX,V6-3471 3.5L SOHC,RDX,V6 - 3.5L 3471cc GAS MFI type J35Z2 - 4 valve SOHC
Acura,TSX,L4 - 2.4L 2351cc GAS MFI type K24Z3 - 4 valve DOHC,"",2.4,4,Gas,K24Z3,TSX,4 Cylinders 2.4L FI DOHC VTEC,TSX,2.4L 2354CC L4 FI VIN: K24Z3,TSX,4-2354 2.4L DOHC,TSX,L4 - 2.4L 2351cc GAS MFI type K24Z3 - 4 valve DOHC
Acura,ZDX,V6 - 3.7L 3664cc GAS MFI type J37A5 - 4 valve SOHC,"",3.7,6,Gas,J37A5,ZDX AWD,6 Cylinders 3.7L FI SOHC VTEC,ZDX,3.7L 3664CC V6 FI VIN: J37A5,ZDX,V6-3664 3.7L SOHC,ZDX,V6 - 3.7L 3664cc GAS MFI type J37A5 - 4 valve SOHC
Acura,TL,V6 - 3.5L 3471cc GAS MFI type J35Z6 - 4 valve SOHC,"",3.5,6,Gas,J35Z6,TL,6 Cylinders 3.5L FI SOHC,TL,3.5L 3471CC V6 FI VIN: J35Z6,TL,V6-3474 3.5L SOHC,TL,V6 - 3.5L 3471cc GAS MFI type J35Z6 - 4 valve SOHC
American Lafrance,Condor,L6 - 8.9L 8849cc 540ci DIESEL MFI Turbocharged type ISL 8.9 - 4 valve,"",8.9,6,Diesel,ISL,Condor,6 Cylinders 8.9L MFI Turbo Dsl,Condor,8.9 8900CC L6 Diesel Turbo VIN: ISL 8.9,,,Condor,L6 - 8.9L 8849cc 540ci DIESEL MFI Turbocharged type ISL 8.9 - 4 valve
American Lafrance,Condor,L6 - 8.3L 8268cc 504ci DIESEL MFI Turbocharged type ISC 8.3 - 4 valve,"",8.3,6,Diesel,ISC,Condor,6 Cylinders 8.3L MFI Turbo Dsl,Condor,8.3L 8277CC L6 Diesel Turbo VIN: ISC 8.3,,,Condor,L6 - 8.3L 8268cc 504ci DIESEL MFI Turbocharged type ISC 8.3 - 4 valve
American Lafrance,Condor,L6 - 8.9L 8849cc 540ci CNG type ISL-G - 4 valve,"",8.9,6,Natural Gas,ISLG,Condor,6 Cylinders 8.9L Natural Gas,Condor,8.9L 8900CC L6 Nat. Gas VIN: ISL-G,,,Condor,L6 - 8.9L 8849cc 540ci CNG type ISL-G - 4 valve
Aston Martin,V8 Vantage S,V8 - 4.7L 4735cc 289ci GAS MFI - 4 valve DOHC,"",4.7,8,Gas,,,,V8 Vantage S,4.7L 4735CC V8 FI,V8 VANTAGE,V8-4735 4.7L,V8 Vantage S,V8 - 4.7L 4735cc 289ci GAS MFI - 4 valve DOHC
Aston Martin,DB9 Volante,V12 - 6.0L 5935cc GAS MFI - 4 valve DOHC,"",6.0,12,Gas,,,,DB9 Volante,6.0L 5935CC V12 FI,DB9,12-5935 6.0L,DB9 Volante,V12 - 6.0L 5935cc GAS MFI - 4 valve DOHC
Aston Martin,V12 Vantage,V12 - 6.0L 5935cc GAS MFI - 4 valve DOHC,"",6.0,12,Gas,,,,V12 Vantage,6.0L 5935CC V12 FI,V12 ZAGATO,12-5935 6.0L,V12 Vantage,V12 - 6.0L 5935cc GAS MFI - 4 valve DOHC
