Year,Make,Make,Model,Engine,No_Of_Cylinder,Size,Fuel_Type,No_Of_Cylinder,Fuel_Type
2015,Acura,ACURA,ILX,4-1997 2.0L SOHC,4,2.0L,,4,
2015,Acura,ACURA,ILX,4-2354 2.4L DOHC,4,2.4L,,4,
2015,Acura,ACURA,MDX,V6-3471 3.5L SOHC,6,3.5L,,6,
2015,Acura,ACURA,RDX,V6-3471 3.5L SOHC,6,3.5L,,6,
2015,Acura,ACURA,RLX,V6-3474 3.5L SOHC,6,3.5L,,6,
2015,Acura,ACURA,RLX HYBRID,V6-3474 3.5L SOHC,6,3.5L,Hybrid,6,Hybrid
2015,Acura,ACURA,TLX,4-2354 2.4L DOHC,4,2.4L,,4,
2015,Acura,ACURA,TLX,V6-3474 3.5L SOHC,6,3.5L,,6,
2015,Alfa Romeo,ALFA ROMEO,4C,4-1750 1.8L DOHC,4,1.8L,,4,
2015,Aston Martin,ASTON MARTIN,DB9,12-5935 6.0L,12,6.0L,,12,
2015,Aston Martin,ASTON MARTIN,RAPIDE,12-5935 6.0L,12,6.0L,,12,
2015,Aston Martin,ASTON MARTIN,V12 VANTAGE,12-5935 6.0L,12,6.0L,,12,
2015,Aston Martin,ASTON MARTIN,V8 VANTAGE,V8-4735 4.7L,8,4.7L,,8,
2015,Aston Martin,ASTON MARTIN,VANQUISH,12-5935 6.0L,12,6.0L,,12,
2015,Audi,AUDI,A3,4-1798 1.8L DOHC,4,1.8L,,4,
2015,Audi,AUDI,A3,4-1968 2.0L Dsl,4,2.0L,Diesel,4,Diesel
2015,Audi,AUDI,A3,4-1984 2.0L DOHC,4,2.0L,,4,
2015,Audi,AUDI,A4,4-1984 2.0L DOHC,4,2.0L,,4,
2015,Audi,AUDI,A5,4-1984 2.0L DOHC,4,2.0L,,4,
2015,Audi,AUDI,A6,4-1984 2.0L DOHC,4,2.0L,,4,
2015,Audi,AUDI,A6,V6-2967 3.0L Dsl,6,3.0L,Diesel,6,Diesel
2015,Audi,AUDI,A6,V6-2995 3.0L DOHC,6,3.0L,,6,
2015,Audi,AUDI,A7,V6-2967 3.0L Dsl,6,3.0L,Diesel,6,Diesel
2015,Audi,AUDI,A7,V6-2995 3.0L DOHC,6,3.0L,,6,
2015,Audi,AUDI,A8,12-6299 6.3L DOHC,12,6.3L,,12,
2015,Audi,AUDI,A8,V6-2967 3.0L Dsl,6,3.0L,Diesel,6,Diesel
2015,Audi,AUDI,A8,V6-2995 3.0L DOHC,6,3.0L,,6,
2015,Audi,AUDI,A8,V8-3993 4.0L DOHC,8,4.0L,,8,
2015,Audi,AUDI,ALLROAD,4-1984 2.0L DOHC,4,2.0L,,4,
2015,Audi,AUDI,Q3,4-1984 2.0L DOHC,4,2.0L,,4,
2015,Audi,AUDI,Q5,4-1984 2.0L DOHC,4,2.0L,,4,
2015,Audi,AUDI,Q5,V6-2967 3.0L Dsl,6,3.0L,Diesel,6,Diesel
2015,Audi,AUDI,Q5,V6-2995 3.0L DOHC,6,3.0L,,6,
2015,Audi,AUDI,Q5 HYBRID,4-1984 2.0L DOHC,4,2.0L,Hybrid,4,Hybrid
2015,Audi,AUDI,Q7,V6-2967 3.0L Dsl,6,3.0L,Diesel,6,Diesel
2015,Audi,AUDI,Q7,V6-2995 3.0L DOHC,6,3.0L,,6,
2015,Audi,AUDI,R8,10-5204 5.2L DOHC,10,5.2L,,10,
2015,Audi,AUDI,R8,V8-4163 4.2L DOHC,8,4.2L,,8,
